Column_Names,New_Names
apache_BusyWorkers,app_httpd_busyw
apache_Load1,res_httpd_l1
apache_Load15,res_httpd_l15
apache_Load5,res_httpd_l5
apache_scboard_keepalive,app_httpd_sckeepalive
apache_scboard_waiting,app_httpd_scwait
docker_container_cpu_usage_percent_app1,res_app1_cpupct
docker_container_cpu_usage_percent_db,res_db_cpupct
docker_container_cpu_usage_percent_httpd,res_httpd_cpupct
docker_container_mem_usage_percent_app1,res_app1_mempct
docker_container_mem_usage_percent_db,res_db_mempct
docker_container_mem_usage_percent_httpd,res_httpd_mempct
log_metrics_5xx_responses_5m,log__httpd_5xx5m
log_metrics_app_5m_error_rate,log_app1_error5m
log_metrics_average_request_duration_5m,log_httpd_avgreqdur
log_metrics_db_10m_error_rate,log_db_error10m
log_metrics_db_5m_slow_rate,log_db_slow_5m
mysql_open_files,app_db_ofiles
mysql_threads_running,app_db_threads
prometheus_jvm_memory_usage_after_gc_percent,app_app1_jvmmemgcpct
/articles/{slug}/comments/{id}_DELETE_SUCCESS,app_/a/s/c/i_DEL_SS
/articles/{slug}/comments_GET_SUCCESS,app_/a/s/c_GET_SS
/articles/{slug}/comments_POST_SUCCESS,app_/a/s/c_POST_SS
/articles/{slug}/favorite_DELETE_SUCCESS,app_/a/s/f_DEL_SS
/articles/{slug}/favorite_POST_SERVER_ERROR,app_/a/s/f_POST_SE
/articles/{slug}/favorite_POST_SUCCESS,app_/a/s/f_POST_SS
/articles/{slug}_DELETE_SUCCESS,app_/a/s_DEL_SS
/articles/{slug}_GET_SUCCESS,app_/a/s_GET_SS
/articles/{slug}_PUT_SUCCESS,app_/a/s_PUT_SS
/articles_GET_SERVER_ERROR,app_/a_GET_SE
/articles_GET_SUCCESS,app_/a_GET_SS
/articles_POST_CLIENT_ERROR,app_/a_POST_CE
/articles_POST_SUCCESS,app_/a_POST_SS
/tags_GET_SUCCESS,app_/t_GET_SS
/users/login_POST_CLIENT_ERROR,app_/u/l_POST_CE
/users/login_POST_SUCCESS,app_/u/l_POST_SS
root_POST_CLIENT_ERROR,app_root_POST_CE
prometheus_hikaricp_connections_acquire_seconds_max,app_app1_dbconnmaxsec
prometheus_jvm_threads_states_threads_blocked,app_app1_thrdsblckd
prometheus_jvm_threads_states_threads_new,app_app1_thrdsnew
prometheus_jvm_threads_states_threads_runnable,app_app1_thrdsrnbl
prometheus_jvm_threads_states_threads_terminated,app_app1_thrdsterm
prometheus_jvm_threads_states_threads_timed-waiting,app_app1_thrdstmdwt
prometheus_jvm_threads_states_threads_waiting,app_app1_thrdswait
prometheus_jvm_gc_overhead_percent,app_app1_jvmgcoverheadpct
prometheus_process_cpu_usage,res_app1_proccpu
prometheus_process_files_open_files,app_app1_ofiles
prometheus_system_load_average_1m,res_app1_cpul1
delta_blkio_read_app1,res_app1_ioread
delta_blkio_read_db,res_db_ioread
delta_blkio_read_httpd,res_httpd_ioread
delta_blkio_write_app1,res_app1_iowrite
delta_blkio_write_db,res_db_iowrite
delta_blkio_write_httpd,res_httpd_iowrite
delta_net_rx_app1,net_app1_rx
delta_net_rx_db,net_db_rx
delta_net_rx_httpd,net_httpd_rx
delta_net_tx_app1,net_app1_tx
delta_net_tx_db,net_db_tx
delta_net_tx_httpd,net_httpd_tx
delta_mysql_inserts,app_db_insertsrt
delta_mysql_updates,app_db_updatesrt
delta_mysql_queries,app_db_queriesrt
delta_mysql_slow,app_db_slowrt
delta_app_logback_debug,app_db_logbackdebug
delta_app_logback_error,app_db_logbackerror
delta_app_logback_info,app_db_logbackinfo
delta_app_logback_trace,app_db_logbacktrace
delta_app_logback_warn,app_db_logbackwarn
/articles/{slug}/favorite_POST_CLIENT_ERROR,app_/a/s/f_POST_CE
/articles/{slug}_GET_SERVER_ERROR,app_/a/s_GET_SE
/articles/{slug}_PUT_SERVER_ERROR,app_/a/s_PUT_SE
/articles_POST_SERVER_ERROR,app_/a_POST_SE
/users/login_POST_SERVER_ERROR,app_/u/l_POST_SE
root_DELETE_CLIENT_ERROR,app_root_DEL_CE
root_DELETE_SERVER_ERROR,app_root_DEL_SE
root_GET_SERVER_ERROR,app_root_GET_SE
root_POST_SERVER_ERROR,app_root_POST_SE
root_PUT_CLIENT_ERROR,app_root_PUT_SE
/articles/{slug}/comments/{id}_DELETE_SERVER_ERROR,app_/a/s/c/i_DEL_SE
/articles/{slug}/comments_GET_SERVER_ERROR,app_/a/s/c_GET_SE
/articles/{slug}/comments_POST_SERVER_ERROR,app_/a/s/c_POST_SE
/articles/{slug}/favorite_DELETE_CLIENT_ERROR,app_/a/s/f_DEL_CE
/articles/{slug}/favorite_DELETE_SERVER_ERROR,app_/a/s/f_DEL_SE
/articles/{slug}_DELETE_SERVER_ERROR,app_/a/s_DEL_SE
/articles/{slug}_GET_CLIENT_ERROR,app_/a/s_GET_CE
/tags_GET_SERVER_ERROR,app_/t_GET_SE
root_PUT_SERVER_ERROR,app_root_PUT_SE
5xx_lag_agg,5xx_lag_agg
