,5xx_lag_agg
5xx_lag_agg,1.0
app_httpd_busyw,0.9080279217755233
app_app1_ofiles,0.9026937710531326
app_app1_jvmmemgcpct,0.8841362914305531
res_httpd_mempct,0.8812944982148065
app_app1_thrdstmdwt,0.8491511076048273
log_httpd_avgreqdur,0.8369831766129809
res_app1_mempct,0.8222731039766243
log_app1_error5m,0.820228412704976
log__httpd_5xx5m,0.8157813938354889
app_app1_dbconnmaxsec,0.640483472303645
app_/a_POST_SE,0.5515713383695127
app_/a_GET_SE,0.5448980710064968
app_/a/s_PUT_SE,0.5161506265375273
app_/u/l_POST_SE,0.5076649527063127
app_/a/s/c_POST_SE,0.48087127324018253
app_/a/s_GET_SE,0.4420128115417558
app_/t_GET_SE,0.4183596490049878
app_/a/s/c_GET_SE,0.4120232336639122
app_root_POST_SE,0.4052322557198712
app_/a/s/f_POST_SE,0.3706469776906134
app_root_GET_SE,0.3389673608057398
app_/a/s_DEL_SE,0.32497354884504503
app_/a_POST_SS,0.3044684200732069
app_/u/l_POST_SS,0.3035094195231993
app_/a/s/f_POST_SS,0.30313167311811806
app_root_PUT_SE,0.30104912138667256
app_root_DEL_CE,0.2998213046430454
app_/a/s/f_DEL_SE,0.29726288855112504
app_/a/s_DEL_SS,0.2953523892957862
app_/a/s_PUT_SS,0.29526609370135415
app_root_PUT_SE,0.2910349978876622
app_/a/s/c_POST_SS,0.28529742642583017
app_/a/s/f_DEL_SS,0.28200952199914653
app_/a/s/c_GET_SS,0.2809580309407126
app_/a_GET_SS,0.28088378557616867
app_/a/s_GET_SS,0.2798899586826716
app_app1_jvmgcoverheadpct,0.27626992602257666
app_root_DEL_SE,0.2716050005837552
app_root_POST_CE,0.2535573481848675
app_/t_GET_SS,0.24850757811648871
app_/u/l_POST_CE,0.2217956635624867
app_httpd_scwait,0.21559976619898324
app_/a/s/c/i_DEL_SS,0.19617164140432966
res_httpd_l5,0.16387150002841838
app_/a/s_GET_CE,0.15682243673265972
app_/a/s/c/i_DEL_SE,0.14638410781509456
app_/a_POST_CE,0.11691203302636537
app_/a/s/f_DEL_CE,0.1134000539934013
res_app1_proccpu,0.10594903424377909
app_app1_thrdsrnbl,0.10083959173605889
app_/a/s/f_POST_CE,0.09161180820905898
res_db_mempct,0.07818430533959227
res_httpd_cpupct,0.07603823461634869
res_httpd_l1,0.07197885706644126
res_app1_cpul1,0.06559720977287453
app_db_ofiles,0.053754869134077704
app_app1_thrdswait,0.05342017045080067
app_db_threads,0.05107890029843244
res_httpd_l15,0.033089854166658536
log_db_slow_5m,0.019442702743399296
res_db_cpupct,0.010501240045206736
app_db_logbackwarn,0.001952708330924101
app_db_logbackerror,0.0012755843803063439
res_db_iowrite,0.0009704029578969362
res_db_ioread,0.00027750948003782053
app_db_slowrt,5.2170954357538794e-05
res_app1_iowrite,5.135513482915865e-05
res_app1_ioread,7.609073812590326e-06
res_httpd_ioread,-6.574483483716819e-05
app_db_updatesrt,-0.0002189363556514912
res_httpd_iowrite,-0.0010886860376659523
net_httpd_rx,-0.002175432009740879
app_db_insertsrt,-0.0022451485851747465
net_httpd_tx,-0.0022995455116540066
app_db_queriesrt,-0.0031798249723076068
net_db_tx,-0.0032310686881771924
net_app1_rx,-0.003310753884302331
net_db_rx,-0.003432813332165315
net_app1_tx,-0.0034418710861749287
app_app1_thrdsblckd,-0.019444477147462863
app_httpd_sckeepalive,-0.021918534701287525
res_app1_cpupct,-0.029919643881640926
log_db_error10m,
app_app1_thrdsnew,
app_app1_thrdsterm,
app_db_logbackdebug,
app_db_logbackinfo,
app_db_logbacktrace,
